date,position,streams
2020-07-30,9.933333333333334,10094048
2020-08-06,28.866666666666667,4460787
2020-08-13,71.46666666666667,2873490
2020-08-20,106.21428571428571,2251137
2020-08-27,114.54545454545455,2036311
2020-09-03,122.71428571428571,1982599
2020-09-10,125.25,1933321
2020-09-17,146.0,1746756
