date,position,streams
2020-12-17,29.5,7807775
2020-12-24,84.76923076923077,3302974
2020-12-31,100.0,2474867
2021-01-07,112.44444444444444,2071549
2021-01-14,110.2,2381504
2021-01-21,52.0,2852578
2021-01-28,55.0,2610255
2021-02-04,74.0,2351324
